sep=;
Tahun;Bulan;Minggu;Unit Kerja;Program;Mitra;Nominal;Catatan
2026;9;I;Nabire;KDP;BSM A3M;;
2026;9;II;Nabire;KDP;BSM A3M;;
2026;9;III;Nabire;KDP;BSM A3M;;
2026;9;IV;Nabire;KDP;BSM A3M;;
2026;9;I;Nabire;KDP;BRINS FLPP;;
2026;9;II;Nabire;KDP;BRINS FLPP;;
2026;9;III;Nabire;KDP;BRINS FLPP;;
2026;9;IV;Nabire;KDP;BRINS FLPP;;
2026;9;I;Sentani;KDP;Askrindo;;
2026;9;II;Sentani;KDP;Askrindo;;
2026;9;III;Sentani;KDP;Askrindo;;
2026;9;IV;Sentani;KDP;Askrindo;;
2026;9;I;Sentani;KDP;Jamkrindo;;
2026;9;II;Sentani;KDP;Jamkrindo;;
2026;9;III;Sentani;KDP;Jamkrindo;;
2026;9;IV;Sentani;KDP;Jamkrindo;;
2026;9;I;Sentani;KDP;BSM A3M;;
2026;9;II;Sentani;KDP;BSM A3M;;
2026;9;III;Sentani;KDP;BSM A3M;;
2026;9;IV;Sentani;KDP;BSM A3M;;
2026;9;I;Sentani;KDP;BRINS FLPP;;
2026;9;II;Sentani;KDP;BRINS FLPP;;
2026;9;III;Sentani;KDP;BRINS FLPP;;
2026;9;IV;Sentani;KDP;BRINS FLPP;;
2026;9;I;Serui;KDP;Askrindo;;
2026;9;II;Serui;KDP;Askrindo;;
2026;9;III;Serui;KDP;Askrindo;;
2026;9;IV;Serui;KDP;Askrindo;;
2026;9;I;Serui;KDP;Jamkrindo;;
2026;9;II;Serui;KDP;Jamkrindo;;
2026;9;III;Serui;KDP;Jamkrindo;;
2026;9;IV;Serui;KDP;Jamkrindo;;
2026;9;I;Serui;KDP;BSM A3M;;
2026;9;II;Serui;KDP;BSM A3M;;
2026;9;III;Serui;KDP;BSM A3M;;
2026;9;IV;Serui;KDP;BSM A3M;;
2026;9;I;Serui;KDP;BRINS FLPP;;
2026;9;II;Serui;KDP;BRINS FLPP;;
2026;9;III;Serui;KDP;BRINS FLPP;;
2026;9;IV;Serui;KDP;BRINS FLPP;;
2026;9;I;Sorong;KDP;Askrindo;;
2026;9;II;Sorong;KDP;Askrindo;;
2026;9;III;Sorong;KDP;Askrindo;;
2026;9;IV;Sorong;KDP;Askrindo;;
2026;9;I;Sorong;KDP;Jamkrindo;;
2026;9;II;Sorong;KDP;Jamkrindo;;
2026;9;III;Sorong;KDP;Jamkrindo;;
2026;9;IV;Sorong;KDP;Jamkrindo;;
2026;9;I;Sorong;KDP;BSM A3M;;
2026;9;II;Sorong;KDP;BSM A3M;;
2026;9;III;Sorong;KDP;BSM A3M;;
2026;9;IV;Sorong;KDP;BSM A3M;;
2026;9;I;Sorong;KDP;BRINS FLPP;;
2026;9;II;Sorong;KDP;BRINS FLPP;;
2026;9;III;Sorong;KDP;BRINS FLPP;;
2026;9;IV;Sorong;KDP;BRINS FLPP;;
2026;9;I;Timika;KDP;Askrindo;;
2026;9;II;Timika;KDP;Askrindo;;
2026;9;III;Timika;KDP;Askrindo;;
2026;9;IV;Timika;KDP;Askrindo;;
2026;9;I;Timika;KDP;Jamkrindo;;
2026;9;II;Timika;KDP;Jamkrindo;;
2026;9;III;Timika;KDP;Jamkrindo;;
2026;9;IV;Timika;KDP;Jamkrindo;;
2026;9;I;Timika;KDP;BSM A3M;;
2026;9;II;Timika;KDP;BSM A3M;;
2026;9;III;Timika;KDP;BSM A3M;;
2026;9;IV;Timika;KDP;BSM A3M;;
2026;9;I;Timika;KDP;BRINS FLPP;;
2026;9;II;Timika;KDP;BRINS FLPP;;
2026;9;III;Timika;KDP;BRINS FLPP;;
2026;9;IV;Timika;KDP;BRINS FLPP;;
2026;9;I;Wamena;KDP;Askrindo;;
2026;9;II;Wamena;KDP;Askrindo;;
2026;9;III;Wamena;KDP;Askrindo;;
2026;9;IV;Wamena;KDP;Askrindo;;
2026;9;I;Wamena;KDP;Jamkrindo;;
2026;9;II;Wamena;KDP;Jamkrindo;;
2026;9;III;Wamena;KDP;Jamkrindo;;
2026;9;IV;Wamena;KDP;Jamkrindo;;
2026;9;I;Wamena;KDP;BSM A3M;;
2026;9;II;Wamena;KDP;BSM A3M;;
2026;9;III;Wamena;KDP;BSM A3M;;
2026;9;IV;Wamena;KDP;BSM A3M;;
2026;9;I;Wamena;KDP;BRINS FLPP;;
2026;9;II;Wamena;KDP;BRINS FLPP;;
2026;9;III;Wamena;KDP;BRINS FLPP;;
2026;9;IV;Wamena;KDP;BRINS FLPP;;
